dataset;filename;height;width;size
kvasir-seg;cju1egh885m1l0855ci1lt37c.jpg;531;566;901638
kvasir-seg;cju1bm8063nmh07996rsjjemq.jpg;530;607;965130
kvasir-seg;cju1dg44i4z3w0801nyz4p6zf.jpg;528;623;986832
kvasir-seg;cju16jgnyzp970878melv7r25.jpg;529;560;888720
kvasir-seg;cju35i2e63uxr0835h7zgkg9k.jpg;531;614;978102
kvasir-seg;cju30525w04r10835ygp257sb.jpg;530;622;988980
kvasir-seg;cju1gv7106qd008784gk603mg.jpg;531;622;990846
kvasir-seg;cju34c1xfyz920993itxkkfad.jpg;508;570;868680
kvasir-seg;cju1egx9pvz2n0988eoy8jp23.jpg;529;622;987114
kvasir-seg;cju3umoh1geet0817cmpef5am.jpg;531;599;954207
kvasir-seg;cju1dnz61vfp40988e78bkjga.jpg;547;627;1028907
kvasir-seg;cju2p0eveqtdc0835gpi3p93i.jpg;528;622;985248
kvasir-seg;cju3280wv1ir009882jze27tc.jpg;530;571;907890
kvasir-seg;cju1g4nsb6ngy0799l4ezm8ab.jpg;529;568;901416
kvasir-seg;cju2iatlki5u309930zmgkv6h.jpg;522;621;972486
kvasir-seg;cju1c6yfz42md08550zgoz3pw.jpg;530;536;852240
kvasir-seg;cju1cdxvz48hw0801i0fjwcnk.jpg;505;577;874155
kvasir-seg;cju2qdj95ru8g09886gfi9rsz.jpg;531;571;909603
kvasir-seg;cju35740hzm0g0993zl5ic246.jpg;474;557;792054
kvasir-seg;cju2hlm19vjjf0801o69qnber.jpg;530;570;906300
kvasir-seg;cju15ptjtppz40988odsm9azx.jpg;529;622;987114
kvasir-seg;cju0qx73cjw570799j4n5cjze.jpg;529;619;982353
kvasir-seg;cju1hmff8tkp809931jps6fbr.jpg;530;587;933330
kvasir-seg;cju40taxlkrho0987smigg0x0.jpg;393;622;733338
kvasir-seg;cju1cyjb5qtie0993njqne9m3.jpg;547;626;1027266
kvasir-seg;cju3xiic0ilzp0850lusrb42j.jpg;530;571;907890
kvasir-seg;cju1fr4etsmrr09933u4t4aql.jpg;521;570;890910
kvasir-seg;cju1euuc65wm00799m4sjdnnn.jpg;530;570;906300
kvasir-seg;cju30mm25a53s0799qa5wiqe8.jpg;529;622;987114
kvasir-seg;cju2qu37qobl50993aw7ghcfq.jpg;528;543;860112
kvasir-seg;cju2trbpkv0c00988hxla5dzz.jpg;531;610;971730
kvasir-seg;cju0t4oil7vzk099370nun5h9.jpg;530;622;988980
kvasir-seg;cju2z45kuzf6d0988nz2c819m.jpg;529;562;891894
kvasir-seg;cju2np2k9zi3v079992ypxqkn.jpg;531;603;960579
kvasir-seg;cju2hx006vidl0799igm81vmh.jpg;528;622;985248
kvasir-seg;cju2ouil2mssu0993hvxsed6d.jpg;511;605;927465
kvasir-seg;cju2rlqdnoz9k0993cpjae3x0.jpg;531;592;943056
kvasir-seg;cju1f5x1164xv08555654c24r.jpg;530;622;988980
kvasir-seg;cju34o6dbd2lo0855aqlcy1hs.jpg;476;623;889644
kvasir-seg;cju3381d8bz3h07991xtl7ra0.jpg;528;567;898128
kvasir-seg;cju2ti1du4idn0878giuozonw.jpg;530;571;907890
kvasir-seg;cju2syxa93yw40799x2iuwabz.jpg;474;602;856044
kvasir-seg;cju1haab178i70799tk9z8y8x.jpg;531;525;836325
kvasir-seg;cju2lejzcy4pc0878c9rlonot.jpg;530;571;907890
kvasir-seg;cju15wdt3zla10801odjiw7sy.jpg;529;622;987114
kvasir-seg;cju30gxjq0djk0988jytm49rs.jpg;530;622;988980
kvasir-seg;cju3y0pjrj1c30755nxekxccj.jpg;531;570;908010
kvasir-seg;cju1ddr6p4k5z08780uuuzit2.jpg;531;570;908010
kvasir-seg;cju2m56cryvqd0801gtn2yp8t.jpg;546;616;1009008
kvasir-seg;cju1c3218411b08014g9f6gig.jpg;546;626;1025388
kvasir-seg;cju3x4blzieu30850x10uuvbm.jpg;1011;1210;3669930
kvasir-seg;cju34ds2531520988qjpqt6e3.jpg;531;617;982881
kvasir-seg;cju2qtee81yd708787bsjr75d.jpg;530;511;812490
kvasir-seg;cju3u39fog1bo0871lxjrabks.jpg;1010;1205;3651150
kvasir-seg;cju3xeexgii1j0817zs68tb4g.jpg;528;622;985248
kvasir-seg;cju1brhsj3rls0855a1vgdlen.jpg;530;570;906300
kvasir-seg;cju2qxxko229x08786gvxxhur.jpg;530;484;769560
kvasir-seg;cju2lz8vqktne0993fuym6drw.jpg;531;613;976509
kvasir-seg;cju2ulk385h170799rlklxob0.jpg;528;596;944064
kvasir-seg;cju2xs6na81t20878pt6nkfip.jpg;531;570;908010
kvasir-seg;cju17x0j4nfc10993y31pvlgs.jpg;526;459;724302
kvasir-seg;cju3v3ac9gyz30755hfqwyp1i.jpg;530;578;919020
kvasir-seg;cju34eqjpcpm508788b3lhp97.jpg;531;557;887301
kvasir-seg;cju2t62nq45jl0799odpufwx6.jpg;528;622;985248
kvasir-seg;cju2rnkt22xep0801as160g9t.jpg;454;558;759996
kvasir-seg;cju3518w2d838079939fqztbc.jpg;529;623;988701
kvasir-seg;cju2qs32r1vys07999conmbvx.jpg;528;622;985248
kvasir-seg;cju2pkwt3r8b90988v2ywq1px.jpg;530;622;988980
kvasir-seg;cju2top2ruxxy0988p1svx36g.jpg;530;570;906300
kvasir-seg;cju334jzo261t0835yqudnfs1.jpg;528;623;986832
kvasir-seg;cju323ypb1fbb0988gx5rzudb.jpg;530;604;960360
kvasir-seg;cju16ach3m1da0993r1dq3sn2.jpg;528;616;975744
kvasir-seg;cju33w4sdcivk0855x879zht7.jpg;547;617;1012497
kvasir-seg;cju3tsh4lfsok0987w6x3a0v1.jpg;530;622;988980
kvasir-seg;cju2xf8e5y2wm08359vcgk09b.jpg;530;571;907890
kvasir-seg;cju1cj3f0qi5n0993ut8f49rj.jpg;530;616;979440
kvasir-seg;cju1ejj7dvqfa0835ra184v5m.jpg;547;619;1015779
kvasir-seg;cju2yi9tz8vky0801yqip0xyl.jpg;528;616;975744
kvasir-seg;cju2uy8ox62jo0801g88hh42z.jpg;528;622;985248
kvasir-seg;cju1g20bdwq6u0835e16xugcd.jpg;531;622;990846
kvasir-seg;cju3xhpvvimda0987ygrpzni2.jpg;530;622;988980
kvasir-seg;cju30xqmh0ni00835ix3batv1.jpg;529;622;987114
kvasir-seg;cju2rpa30t07b0835im0erql0.jpg;529;621;985527
kvasir-seg;cju2yw4s7z7p20988lmf2gdgd.jpg;530;571;907890
kvasir-seg;cju2uwz9f5yf1085506cfamfx.jpg;1011;1220;3700260
kvasir-seg;cju34fojcctcf0799ebolbvkn.jpg;547;626;1027266
kvasir-seg;cju2zi4l09f5807991s8do2b2.jpg;530;622;988980
kvasir-seg;cju2r11x7sdgx0988o8ule0wl.jpg;528;622;985248
kvasir-seg;cju33yemn2qb20988wfjxximx.jpg;511;622;953526
kvasir-seg;cju2lyynuymli0855g7fxgbhe.jpg;519;612;952884
kvasir-seg;cju320gyvbch60801v2amdi2g.jpg;503;616;929544
kvasir-seg;cju2qh5le1ock0878oahaql7d.jpg;530;622;988980
kvasir-seg;cju2rmd2rsw9g09888hh1efu0.jpg;531;570;908010
kvasir-seg;cju2wx0gh7fpz0878wwyd9ep8.jpg;529;616;977592
kvasir-seg;cju35c4wzdhow0799h6eq4sgs.jpg;531;599;954207
kvasir-seg;cju2sevf53lkx08558h5bpaig.jpg;547;626;1027266
kvasir-seg;cju30j1rgadut0801vuyrsnt8.jpg;530;570;906300
kvasir-seg;cju2okvco06xc0799kxe5n1qh.jpg;530;577;917430
kvasir-seg;cju2uzabhs6er0993x3aaf87p.jpg;528;612;969408
kvasir-seg;cju2wzu8wxtgu09880ku9x1pg.jpg;529;622;987114
kvasir-seg;cju3u4lxmg59o0755rz42b9en.jpg;528;622;985248
kvasir-seg;cju2zdvjn9h7r08553cp4eed5.jpg;415;401;499245
kvasir-seg;cju1h89h6xbnx08352k2790o9.jpg;531;570;908010
kvasir-seg;cju3ya7goj6at0818v2l5ay7f.jpg;547;626;1027266
kvasir-seg;cju2ro5jqsy680988pi6qsujw.jpg;531;622;990846
kvasir-seg;cju3uz4o6gr9z0850lhxyxvsj.jpg;1070;1348;4327080
kvasir-seg;cju3y21quj0ir0818kgjagr15.jpg;546;626;1025388
kvasir-seg;cju330ofbc2l30801th5g3hw6.jpg;529;495;785565
kvasir-seg;cju32csyfblyh080170aa3x5p.jpg;547;626;1027266
kvasir-seg;cju1f8w0t65en0799m9oacq0q.jpg;528;622;985248
kvasir-seg;cju2y0z6g87p10878fpk5d3rq.jpg;530;554;880860
kvasir-seg;cju1cqc7n4gpy0855jt246k68.jpg;529;616;977592
kvasir-seg;cju3ykamdj9u208503pygyuc8.jpg;1010;1220;3696600
kvasir-seg;cju3y9difj6th0801kd1rqm3w.jpg;529;597;947439
kvasir-seg;cju2i03ptvkiu0799xbbd4det.jpg;528;600;950400
kvasir-seg;cju30ov1oah920801mi8thuyg.jpg;530;571;907890
kvasir-seg;cju2yg5ht8i4p087800js8hp4.jpg;546;626;1025388
kvasir-seg;cju2t16vuucaq0835xcpsivn2.jpg;531;622;990846
kvasir-seg;cju1fmsyf6gxb0801cimx2gle.jpg;531;570;908010
kvasir-seg;cju1expq45zst0855rjqwwj4m.jpg;529;622;987114
kvasir-seg;cju1ffnjn6ctm08015perkg37.jpg;547;626;1027266
kvasir-seg;cju160wshltz10993i1gmqxbe.jpg;530;607;965130
kvasir-seg;cju35k2fr3vc50988c85qkrwg.jpg;530;570;906300
kvasir-seg;cju2xyd9vyi7m098831qcucse.jpg;528;622;985248
kvasir-seg;cju2urqpwvxw70835rvndvtsi.jpg;474;626;890172
kvasir-seg;cju2nfnvxzdkd0878399axlco.jpg;546;598;979524
kvasir-seg;cju32qr9tbvsj08013pkpjenq.jpg;546;615;1007370
kvasir-seg;cju1djtprvd7b0988thwwrg09.jpg;529;590;936330
kvasir-seg;cju1dia8hvc6v098827mgffnm.jpg;528;616;975744
kvasir-seg;cju1819curo000988pd5xcqme.jpg;529;600;952200
kvasir-seg;cju17r8il13910799dr2wme2e.jpg;531;622;990846
kvasir-seg;cju2trtjf4qjd0878a2zle9v9.jpg;528;598;947232
kvasir-seg;cju3xvoo2iqlc0817eku2r3wl.jpg;530;446;709140
kvasir-seg;cju2sszfq3uye0878sucelzk2.jpg;531;622;990846
kvasir-seg;cju35a77vdj4n08556jj2lgmc.jpg;530;570;906300
kvasir-seg;cju1gi7jlwyld0835cdf6g6qz.jpg;529;611;969657
kvasir-seg;cju15jr8jz8sb0855ukmkswkz.jpg;528;594;940896
kvasir-seg;cju35eg0tdmjt085525sb4bua.jpg;528;599;948816
kvasir-seg;cju40sdwukv3k0755y99ug1k8.jpg;528;615;974160
kvasir-seg;cju3ul8dogf1z09872y2ecowp.jpg;531;609;970137
kvasir-seg;cju1drnhbrb9409935wi7vkhg.jpg;529;619;982353
kvasir-seg;cju2hqt33lmra0988fr5ijv8j.jpg;528;602;953568
kvasir-seg;cju2rga4psq9n09881z519xx0.jpg;529;622;987114
kvasir-seg;cju2t3ibkuecr0835o7si16zv.jpg;530;613;974670
kvasir-seg;cju3yb47cj1xq0817zfotbni4.jpg;547;626;1027266
kvasir-seg;cju1hp9i2xu8e0988u2dazk7m.jpg;531;490;780570
kvasir-seg;cju3wstckialg0871xs0vevsj.jpg;529;564;895068
kvasir-seg;cju3xtufwiv9c0818djsc4cqd.jpg;530;615;977850
kvasir-seg;cju3x5u2tiihx0818914gzxy1.jpg;530;622;988980
kvasir-seg;cju2txjfzv60w098839dcimys.jpg;430;551;710790
kvasir-seg;cju183od81ff608017ekzif89.jpg;511;622;953526
kvasir-seg;cju3v56bwgy8v0871w14pz8fx.jpg;531;570;908010
kvasir-seg;cju2omjpeqj5a0988pjdlb8l1.jpg;530;566;899940
kvasir-seg;cju2raxlosl630988jdbfy9b0.jpg;528;557;882288
kvasir-seg;cju2ueb6j5ado0878vf5md13o.jpg;1070;1348;4327080
kvasir-seg;cju16whaj0e7n0855q7b6cjkm.jpg;547;626;1027266
kvasir-seg;cju14pxbaoksp0835qzorx6g6.jpg;530;622;988980
kvasir-seg;cju0vtox5ain6099360pu62rp.jpg;531;622;990846
kvasir-seg;cju33231uy4gi0993qc7b1jch.jpg;529;622;987114
kvasir-seg;cju3uwz6ogsp10801h2r3bj5l.jpg;531;622;990846
kvasir-seg;cju2phaksnahz0993yxogjcpv.jpg;528;622;985248
kvasir-seg;cju16b6ynq8e40988m8vx0xnj.jpg;530;571;907890
kvasir-seg;cju1cfhyg48bb0799cl5pr2jh.jpg;547;626;1027266
kvasir-seg;cju2rqo702wpx0855fn7d5cxh.jpg;529;621;985527
kvasir-seg;cju2xlcqxy9c60988vjacdznb.jpg;529;621;985527
kvasir-seg;cju32l161bi1v07990vm376in.jpg;529;622;987114
kvasir-seg;cju2ma647l0nj0993ot4deq2q.jpg;547;621;1019061
kvasir-seg;cju2suk42469908015ngmq6f2.jpg;528;609;964656
kvasir-seg;cju3v72v5h1qz0818fggilwtq.jpg;529;622;987114
kvasir-seg;cju2zm0axztpe0988r8s9twjr.jpg;528;623;986832
kvasir-seg;cju30df2j09dd08351ayx2t6w.jpg;530;622;988980
kvasir-seg;cju14g8o4xui30878gkgbrvqj.jpg;531;622;990846
kvasir-seg;cju14hjh2ob2o0835ouz3r5aa.jpg;546;609;997542
kvasir-seg;cju1b75x63ddl0799sdp0i2j3.jpg;530;549;872910
kvasir-seg;cju34sh43d8zm08019xbwhc0o.jpg;530;620;985800
kvasir-seg;cju3x7xsaijq80818f0psavav.jpg;531;590;939870
kvasir-seg;cju2hdr06v2bq0799mbm3bks1.jpg;530;621;987390
kvasir-seg;cju13cgqmnhwn0988yrainhcp.jpg;546;626;1025388
kvasir-seg;cju2rz4k434s70855wwx3ddtx.jpg;530;612;973080
kvasir-seg;cju34xspwzenf0993cyzajv9n.jpg;547;626;1027266
kvasir-seg;cju2xjz2ju8pe0993ysv9wg17.jpg;530;593;942870
kvasir-seg;cju1f15k3w4ct0835cmde6ypo.jpg;547;572;938652
kvasir-seg;cju310f6val1v0855xo8tc3gu.jpg;531;622;990846
kvasir-seg;cju3xwpgviwlx0871rwm15q7v.jpg;547;626;1027266
kvasir-seg;cju2wxv0hxs2f09884w48v8fi.jpg;529;622;987114
kvasir-seg;cju2u73dj53oz0878486k8k4b.jpg;529;524;831588
kvasir-seg;cju2zblxw9848087853csbrx1.jpg;530;586;931740
kvasir-seg;cju2hjrqcvi2j0801bx1i6gxg.jpg;531;599;954207
kvasir-seg;cju32a52lb9rc0799xi40qs00.jpg;529;621;985527
kvasir-seg;cju2t9tdwuk700835kv0ljmtl.jpg;473;605;858495
kvasir-seg;cju2z2x3nvd3c099350zgty7w.jpg;530;553;879270
kvasir-seg;cju17hw9hr9c5098800fu4u8e.jpg;528;623;986832
kvasir-seg;cju3xga12iixg0817dijbvjxw.jpg;530;622;988980
kvasir-seg;cju33za6l2qy70988jhrlp2ev.jpg;546;626;1025388
kvasir-seg;cju32zhbnc1oy0801iyv1ix6p.jpg;531;622;990846
kvasir-seg;cju35atpxdjot0855q46aqrd0.jpg;546;626;1025388
kvasir-seg;cju2x7vw87mu30878hye2ca0m.jpg;1070;1348;4327080
kvasir-seg;cju3128yi0rpu0988o4oo5n8n.jpg;531;622;990846
kvasir-seg;cju1ewnoh5z030855vpex9uzt.jpg;529;622;987114
kvasir-seg;cju2saez63gxl08559ucjq3kt.jpg;530;557;885630
kvasir-seg;cju2y40d8ulqo0993q0adtgtb.jpg;529;617;979179
kvasir-seg;cju175facms5f0993a5tjikvt.jpg;528;621;983664
kvasir-seg;cju2osuru0ki00855txo0n3uu.jpg;528;594;940896
kvasir-seg;cju1cnnziug1l0835yh4ropyg.jpg;531;570;908010
kvasir-seg;cju40jl7skiuo0817p0smlgg8.jpg;506;601;912318
kvasir-seg;cju2hos57llxm08359g92p6jj.jpg;529;622;987114
kvasir-seg;cju1dfeupuzlw0835gnxip369.jpg;1070;1348;4327080
kvasir-seg;cju2upu4evw7g08358guwozxv.jpg;528;616;975744
kvasir-seg;cju34i3qvcyog0855qiejxx5w.jpg;529;622;987114
kvasir-seg;cju2nqapmzvk20801f9us40dx.jpg;547;626;1027266
kvasir-seg;cju34repocy5208780gswillm.jpg;529;622;987114
kvasir-seg;cju2pjb9v0ywn0878j5g5n69j.jpg;529;622;987114
kvasir-seg;cju2otvvv0l7z0855x7we8cb0.jpg;531;571;909603
kvasir-seg;cju17otoe119u0799nqcbl8n1.jpg;511;519;795627
kvasir-seg;cju2ysg748ru80878sp6j0gm0.jpg;547;572;938652
kvasir-seg;cju2tvrvm53ws0801a0jfjdxg.jpg;531;568;904824
kvasir-seg;cju2r91dg2k090801bh0xzbxk.jpg;1070;1348;4327080
kvasir-seg;cju2y8s56ymqr083541ggdsml.jpg;530;615;977850
kvasir-seg;cju2s16zp317h0799gr67jqc2.jpg;531;622;990846
kvasir-seg;cju0qoxqj9q6s0835b43399p4.jpg;1070;1348;4327080
kvasir-seg;cju306x7w05nb0835cunv799x.jpg;546;626;1025388
kvasir-seg;cju34aozyyy830993bn16u32n.jpg;530;609;968310
kvasir-seg;cju2hfqnmhisa0993gpleeldd.jpg;530;621;987390
kvasir-seg;cju34zivp3fq80988opxbaqyn.jpg;528;580;918720
kvasir-seg;cju2qozsk20cq0855ugrg3cri.jpg;546;626;1025388
kvasir-seg;cju0ue769mxii08019zqgdbxn.jpg;547;626;1027266
kvasir-seg;cju34uhepd3dd0799hs8782ad.jpg;546;626;1025388
kvasir-seg;cju358pwtdby20878cg7nm0np.jpg;528;581;920304
kvasir-seg;cju2qfie4rvz508357kad9z5o.jpg;529;622;987114
kvasir-seg;cju1erep75us208553i4ofwwe.jpg;547;613;1005933
kvasir-seg;cju2yb31a8e8u0878wdashg7o.jpg;531;621;989253
kvasir-seg;cju41nz76lcxu0755cya2qefx.jpg;514;586;903612
kvasir-seg;cju414lf2l1lt0801rl3hjllj.jpg;528;610;966240
kvasir-seg;cju1h5w4wxajx0835mc954kxy.jpg;528;622;985248
kvasir-seg;cju1ftaji6isw0855108yqcse.jpg;502;562;846372
kvasir-seg;cju1fb9236a110801yvg0fwju.jpg;547;626;1027266
kvasir-seg;cju34ymm8d6700799uop0cw33.jpg;531;621;989253
kvasir-seg;cju2mh8t6p07008350e01tx2a.jpg;528;588;931392
kvasir-seg;cju1hyolc7aqu0878rrkfn1lr.jpg;1070;1348;4327080
kvasir-seg;cju3v664kh0px0818y4y7wolf.jpg;531;621;989253
kvasir-seg;cju2p91qir00k08350ddfif0w.jpg;1070;1348;4327080
kvasir-seg;cju1d50a94qf50855wsowacrc.jpg;530;622;988980
kvasir-seg;cju31w6goazci0799n014ly1q.jpg;547;627;1028907
kvasir-seg;cju0tl3uz8blh0993wxvn7ly3.jpg;529;622;987114
kvasir-seg;cju2rn0hasxri0835nfy3buay.jpg;531;622;990846
kvasir-seg;cju2zwg05a0oy0801yr73ig7g.jpg;531;599;954207
kvasir-seg;cju353d1eda8c07992afde611.jpg;528;622;985248
kvasir-seg;cju2nbdpmlmcj0993s1cht0dz.jpg;530;584;928560
kvasir-seg;cju31t8xd17bk0835rnb893jk.jpg;529;622;987114
kvasir-seg;cju2igw4gvxds0878808qj398.jpg;546;626;1025388
kvasir-seg;cju0qkwl35piu0993l0dewei2.jpg;529;622;987114
kvasir-seg;cju1amqw6p8pw0993d9gc5crl.jpg;547;622;1020702
kvasir-seg;cju2yyhsp933j0855hp32e012.jpg;435;593;773865
kvasir-seg;cju32srle1xfq083575i3fl75.jpg;547;626;1027266
kvasir-seg;cju30k2z40ds308353kdew70n.jpg;528;618;978912
kvasir-seg;cju2s2527pfyr0993l3h1149a.jpg;529;622;987114
kvasir-seg;cju1b0y2e396p08558ois175d.jpg;546;626;1025388
kvasir-seg;cju35oyvd3y850988km12hdz1.jpg;506;590;895620
kvasir-seg;cju1c0qb4tzi308355wtsnp0y.jpg;530;622;988980
kvasir-seg;cju2oq5570avm079959o20op1.jpg;547;626;1027266
kvasir-seg;cju2r6mt2om21099352pny5gw.jpg;528;608;963072
kvasir-seg;cju412uwlkva50850d1ps1ww7.jpg;547;616;1010856
kvasir-seg;cju2nd7l7z98o0799gfjvyfmw.jpg;1070;1348;4327080
kvasir-seg;cju2oo0wh0bqy0878biujeyhe.jpg;530;621;987390
kvasir-seg;cju18ibp219ub08783i6o98g7.jpg;528;615;974160
kvasir-seg;cju1f79yhsb5w0993txub59ol.jpg;528;623;986832
kvasir-seg;cju40wto5kxwi0755it190f2k.jpg;1070;1348;4327080
kvasir-seg;cju1efbr0rqxz09931z0lf4vf.jpg;529;622;987114
kvasir-seg;cju2ij9uiic2l09933ljiv6gm.jpg;530;617;981030
kvasir-seg;cju3tx1qyg0c907552fglumhc.jpg;529;622;987114
kvasir-seg;cju0s690hkp960855tjuaqvv0.jpg;530;621;987390
kvasir-seg;cju15czxqp3lv0835jvhgzurz.jpg;547;620;1017420
kvasir-seg;cju33qpdvc9g0087825jhf3s9.jpg;531;622;990846
kvasir-seg;cju41lojblbs307555jdci937.jpg;547;626;1027266
kvasir-seg;cju3xzvnzj0hd0755xprz39nj.jpg;513;625;961875
kvasir-seg;cju2r2obh2bjm08553kng0rh7.jpg;458;474;651276
kvasir-seg;cju2zr3c3vwb00993jn06bbaz.jpg;531;575;915975
kvasir-seg;cju3521y5d5mq0878t3ezsu4p.jpg;530;622;988980
kvasir-seg;cju32fhnhbds40799broyoptc.jpg;530;621;987390
kvasir-seg;cju2zp89k9q1g0855k1x0f1xa.jpg;530;622;988980
kvasir-seg;cju40poe4kt9s0755f9cnm3h5.jpg;1070;1348;4327080
kvasir-seg;cju2tjrog4jy30878pawyazqc.jpg;530;622;988980
kvasir-seg;cju1d96gsv62d09881b3wecw2.jpg;528;622;985248
kvasir-seg;cju32upim1z7u0988l883nqp6.jpg;479;570;819090
kvasir-seg;cju336l68y7if0993wf092166.jpg;530;583;926970
kvasir-seg;cju2srvy5440s0801y1ba9akr.jpg;528;622;985248
kvasir-seg;cju357rxxdaz30878y2esjpjt.jpg;531;558;888894
kvasir-seg;cju2zgbj9zmrw0835nnlzxj4c.jpg;528;623;986832
kvasir-seg;cju1csmlc4ht10799b8ymmghg.jpg;546;612;1002456
kvasir-seg;cju2xwm1s84l50799i60mq0pu.jpg;547;626;1027266
kvasir-seg;cju2rkjfwoxys0993x768l1j2.jpg;401;597;718191
kvasir-seg;cju0u82z3cuma0835wlxrnrjv.jpg;546;626;1025388
kvasir-seg;cju33belnbyhm0878yxl42233.jpg;528;613;970992
kvasir-seg;cju2sxf3iqbpv09937iksn8ep.jpg;529;622;987114
kvasir-seg;cju2tzypl4wss0799ow05oxb9.jpg;531;622;990846
kvasir-seg;cju2lcyfgkf5809932fn9gucn.jpg;530;571;907890
kvasir-seg;cju1dq3x1vgx109889c7wyirg.jpg;513;617;949563
kvasir-seg;cju2i3hzclw3o0988rrgh911i.jpg;531;598;952614
kvasir-seg;cju30u1hbakn808019g15nb8b.jpg;528;510;807840
kvasir-seg;cju1hirfi7ekp0855q0vgm9qq.jpg;529;605;960135
kvasir-seg;cju2wve9v7esz0878mxsdcy04.jpg;529;620;983940
kvasir-seg;cju1dhfok4mhe0878jlgrag0h.jpg;546;626;1025388
kvasir-seg;cju31y80qbawn0801twwm2l5s.jpg;495;569;844965
kvasir-seg;cju303j5r062k098835zxfds5.jpg;546;626;1025388
kvasir-seg;cju3xl264ingx0850rcf0rshj.jpg;531;622;990846
kvasir-seg;cju2ntxtdzlvu0799xl3j9pan.jpg;547;626;1027266
kvasir-seg;cju2i6acqvo6l0799u20fift8.jpg;546;623;1020474
kvasir-seg;cju1cbokpuiw70988j4lq1fpi.jpg;529;615;976005
kvasir-seg;cju2zy1e49pqk0878t6ncqn12.jpg;529;622;987114
kvasir-seg;cju32phw2bv130801yj7bkouq.jpg;547;626;1027266
kvasir-seg;cju1euant5l960878iqj5vvto.jpg;531;622;990846
kvasir-seg;cju3xuj20ivgp0818mij8bjrd.jpg;527;622;983382
kvasir-seg;cju3uhb79gcgr0871orbrbi3x.jpg;531;622;990846
kvasir-seg;cju2rzpsmtb0f0835jabkbao1.jpg;528;528;836352
kvasir-seg;cju1ats0y372e08011yazcsxm.jpg;528;623;986832
kvasir-seg;cju3ttznuftyf09875t11850w.jpg;547;626;1027266
kvasir-seg;cju2qn2fzs1vy0988l243cvzy.jpg;547;597;979677
kvasir-seg;cju33mirdc8mj0799k33wzoes.jpg;547;626;1027266
kvasir-seg;cju35ldepdtlm0801yv79y8vu.jpg;547;626;1027266
kvasir-seg;cju17z0qongpa0993de4boim4.jpg;529;622;987114
kvasir-seg;cju2nyc5f02m40801ojqbtiea.jpg;531;622;990846
kvasir-seg;cju326h4v1gxw08352px40p7r.jpg;528;616;975744
kvasir-seg;cju410dnfl0960755y8lu8d79.jpg;546;626;1025388
kvasir-seg;cju2nsmwjlzyl0993jl80chvz.jpg;547;625;1025625
kvasir-seg;cju2tqfgw4oat0799rn0g5b2z.jpg;529;614;974418
kvasir-seg;cju1b3zgj3d8e0801kpolea6c.jpg;528;601;951984
kvasir-seg;cju40u30gkuzc0871rq7t666d.jpg;546;626;1025388
kvasir-seg;cju32pzh9bpw10855q4vaxfhe.jpg;546;621;1017198
kvasir-seg;cju2oi8sq0i2y0801mektzvw8.jpg;1070;1348;4327080
kvasir-seg;cju418rckl3ur08012psrx1r1.jpg;530;622;988980
kvasir-seg;cju1d31sp4d4k0878r3fr02ul.jpg;529;622;987114
kvasir-seg;cju2u4pymvc720988wsxrmi84.jpg;530;541;860190
